teste;registro 0 não é registrado;00/00/0000;null;
Tocantins79;RT @PortalDisparada: As elei‡äes paulistanas e o futuro do PDT. Por Felipe Augusto Ferreira.;08/08/2020;Tocantins - Brasil;
drikam76;RT @agencialupa: Circula nas redes sociais a informa‡Æo de que o Ibope projetou a virada ou a vit¢ria de candidatos do PT, PSOL e PCdoB no 2§ turno das elei‡äes;09/10/2020;Marau;
magnainacio;RT @tvalmg: Pe‡as do xadrez pol¡tico: #Eleicoes2020 sÆo divisor de  guas na consolida‡Æo de bloco parlamentar de apoio e da oposi‡Æo a #Bolsonaro, diz @magnainacio. ;27/07/2020;RS;
LeiaRachor;ELEITORES DE Belo Horizonte. OLHA A MERDA- M E R D A- que vocˆs fizeram.;17/10/2020;BH Sul;
Cadamin;Vacina‡Æo contra a Covid no Brasil vai come‡ar com profissionais de sa£de, maiores de 75 anos e ind¡genas;02/12/2020;Macei¢ - AL;
RianaLinhares;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipula‡Æo de dados de pesquisas eleitorais e um sistema eleitoral inaudit vel, sempre levaremos ?gato por lebre?;25/09/2020;Brasil;
ricardoguidio;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipula‡Æo de dados de pesquisas eleitorais e um sistema eleitoral inaudit vel, sempre levaremos ?gato por lebre?. ;26/09/2020;Fortaleza - Brazil;
EmersonAnomia;Sobre as #eleicoes2020 acho que as urnas deram um recado claro, nÆo apenas para o bolsonarismo, mas essa an lise deve ser feita por quem tiver humildade. NÆo adianta culpar A ou B e pensar que o leitor mudar . Uma alian‡a democr tica tamb‚m precisa de humildade e altru¡smo.;01/12/2020;Piraju - Brasil;
RobbyMass14;RT @sbtnews: Jair Bolsonaro votou na manhÆ deste domingo, no Rio de Janeiro. Na sa¡da da escola da Vila Militar, na zona oeste, o presidente criticou o sistema eleitoral brasileiro e afirmou que o voto impresso ‚ uma necessidade;12/11/2020;SÆo Paulo;
theluckelima;DIA 06/12 VAMO DE BANCADA PRETA, 18080! ;;02/12/2020;Duque de Caxias
rojasvega;RT @gerardodeicaza: A poco más de dos horas después del cierre de la votación la mega pantalla de resultados del @TSEjusbr marca que ya se han contabilizado más del 98% de las mesas electorales.;02/12/2020;Mexico;
jorgefieza;24h depois, é a vez de Cametá. #cameta #Eleicoes2020 https://t.co/CMuvv7PVEB;02/12/2020;Recife - Brasil;
abiliomurce;Se BH tivesse um candidato inteligente, que não apostasse nas promessas da velha política, né #JoaoVitorXavier;10/10/2020;Belo Horizonte;
Dmenegaz;RT @LeiaRachor: ELEITORES DE Belo Horizonte . OLHA A MERDA- M E R D A- que vocês fizeram. Fico pensando ?? será MESMO que NÃO TINHA NENHUM candidato BOM para votar em BH??!?!?!? #Eleicoes2020 ;02/09/2020;RS;
Jabesmar;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipulação de dados de pesquisas eleitorais e um sistema eleitoral inauditável, sempre levaremos “gato por lebre”.;15/10/2020;Rio Grande do Norte;
eratostenes;#Eleicoes2020 DE LULA AO PT E SEUS PRIMOS, TODOS PERDERAM https://t.co/JDR1y8lpIL;13/09/2020;Bahia;
xandaodalapa;SAIU! Análise bombástica das #Eleicoes2020 nos #EUA e no Brasil,com o #SegundoTurno das #eleicoesmunicipais2020 #PT #Bolsonaro #Doria #PSDB ;15/10/2020;São Paulo - SP;
Estadao;#Eleicoes2020: Fragmentação partidária aumenta e é a maior das últimas cinco eleições https://t.co/utaeiMm5WX;01/12/2020;São Paulo - SP;
rafa16_;"RT @porcoespirito: Ficha de hoje: ""Luga Chácara."" segue o Porco Espírito!";23/11/2020;Brasil;
Ricardo20425739;#Eleicoes2020 #BoulosNao #BolsonaroTemRazao https://t.co/iHKWP9gQLs;13/08/2020;Rio  de Janeiro;
Beto1berto;Falta de aviso não foi...?#phapresente #tvafiada #governo #brasil #saopaulo #eleiçoes2020 #pandemia #coronavirus #covid_19 ;06/06/2020;Amapá;
gurudepre;RT @J_LIVRES: Por Fredy Varela @FredyVarela #Eleicoes2020 https://t.co/ASKGPlgmbz;17/11/2020;Universal;
RPorto9;#Poliítica Quero crer quantos esquecidos? Lacram-se as urnas, e as realidades #Eleicoes2020 https://t.co/IaqKBOFMrR;01/10/2020;Brazil;
fabio_aracati;#Eleicoes2020 de uma certeza simples que o perfume da vitória passará por uma composição de frente ampla dos partidos de esquerda com o #Ciro2022 + um... qualquer outra coisa é derrota certa. @cirogomes;05/11/2020;Blumenau;
jm44552;Programa com os dois leva mais de 3 horas no mínimo. Daqui a pouco, às 22h, tem Fernando Melo e Evandro Pontes. #FernandoMelo #EvandroPontes #Eleicoes2020;18/08/2020;Santa Catarina;
admtalesmartins;RT @crisbrasilreal: Enquanto aceitarmos pacificamente a manipulação de dados de pesquisas eleitorais e um sistema eleitoral inauditável, sempre levaremos “gato por lebre”. #REAGEBRASIL #VotoAuditavelJa #Eleicoes2020 #ForaNhonhoEBatore https://t.co/Uh7z29v6Fz;23/09/2020;Brasil;
souunides23;CRB e CSA empatam no Clássico das Multidões pela Série B https://t.co/qOZ4NEC9yS #alagoas #eleicoesal #eleicoes2020 https://t.co/1IaVgrenMl;17/10/2020;Geolândia;
VulpesFortis;"RT @ternuma: A Aberração Humana está eufórica, @jairbolsonaro foi o grande derrotado nas #Eleicoes2020, ninguém votou em seus candidatos. Mas o que aconteceu com o ""gado""? O verdadeiro gado é este que faz campanha contra nosso governo. https://t.co/oZjR3mPmyq";13/11/2020;China;
ConsuMII;#IBOPE e tem ainda alguém que acredita. Abstenções/Brancos/Nulos ganharam de muitos eleitos. #Eleições2020 #AlexandreGarciaTemRazão https://t.co/ggTaQ1KlGA;14/10/2020;Minas Gerais;
parrahenri;RT @LabcidadeFAUUSP: Este mapa mostra a diferença dos percentuais de votos em @GuilhermeBoulos em 2020 e @Haddad_Fernando por zona eleitoral em São Paulo;02/12/2020;São Paulo - SP;
CristianoAlmei0;RT @miriamleitao: SP: Guilherme Boulos do PSOL sai dessa eleição bem maior do que entrou, mesmo tendo perdido a eleição. Tornou-se uma força importante da esquerda. ;08/08/2020;MG;
ximenesm1;RT @TransformSantos: Gestores qualificados? TEMOS. Essa é a equipe que vai compor o nosso Grupo de Inteligência e futuro CG. É preciso avaliar criteriosamente quem será trazido para trabalhar no clube e exigiremos alto nível de capacitação profissional. ;12/10/2020;Rio Grande;
_rdnews;#Eleições2020 | Vereador reeleito Sargento Joelson (SD) se diz seguro para assumir a vaga e considerou “uma irresponsabilidade” do Patriota se manifestar pedindo a recontagem dos votos.;15/09/2020;Cuiabá - MT;
Sangue_Latino;"@AdsumP ""Atenção prioritária"" será sempre priorizada para as classes + abastadas. ";16/09/2020;Brazil;
psoljoaopessoa;RT @tarcioteixeira: Para alguns as eleições acabaram, para outros segue a burocracia e os depoimentos. Na Polícia Federal, depondo sobre denúncia que fiz contra gestor que ameaçou demitir quem não fizesse campanha para o candidato eleito na capital.;03/10/2020;João Pessoa;
TREAmapa;#Faltam4Dias para as #Eleições2020 em Macapá! Para votar basta apresentar qualquer documento oficial com foto ou usando somente o aplicativo para celular e-Título, disponível gratuitamente para download. Muito mais rapidez, praticidade e segurança na hora de votar.;02/12/2020;Macapá - AP;
